categories,city,id,name,price,rating,review_count
"[{u'alias': u'newamerican', u'title': u'American (New)'}]",New York,thelma-on-clinton-new-york,Thelma On Clinton,$$,4.0,108
"[{u'alias': u'italian', u'title': u'Italian'}]",New York,supper-new-york,Supper,$$,4.0,993
"[{u'alias': u'newamerican', u'title': u'American (New)'}]",San Francisco,rich-table-san-francisco,Rich Table,$$$,4.0,749
"[{u'alias': u'asianfusion', u'title': u'Asian Fusion'}, {u'alias': u'wine_bars', u'title': u'Wine Bars'}, {u'alias': u'srilankan', u'title': u'Sri Lankan'}]",San Francisco,1601-bar-and-kitchen-san-francisco,1601 Bar & Kitchen,$$$,4.0,178
"[{u'alias': u'indpak', u'title': u'Indian'}]",San Francisco,dosa-on-fillmore-san-francisco-3,DOSA on Fillmore,$$$,4.0,2320
"[{u'alias': u'chinese', u'title': u'Chinese'}]",San Francisco,m-y-china-san-francisco-2,M.Y. China,$$,3.5,1026
"[{u'alias': u'tapasmallplates', u'title': u'Tapas/Small Plates'}, {u'alias': u'izakaya', u'title': u'Izakaya'}]",San Francisco,izakaya-rintaro-san-francisco,Izakaya Rintaro,$$$,4.0,220
"[{u'alias': u'pizza', u'title': u'Pizza'}, {u'alias': u'italian', u'title': u'Italian'}, {u'alias': u'bars', u'title': u'Bars'}]",San Francisco,zero-zero-san-francisco,Zero Zero,$$,4.0,2694
"[{u'alias': u'izakaya', u'title': u'Izakaya'}]",San Francisco,yuzuki-japanese-eatery-san-francisco,Yuzuki Japanese Eatery,$$$,4.0,322
"[{u'alias': u'newamerican', u'title': u'American (New)'}]",San Francisco,bar-tartine-san-francisco,Bar Tartine,$$$,3.5,1472
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'desserts', u'title': u'Desserts'}, {u'alias': u'seafood', u'title': u'Seafood'}]",San Francisco,mason-pacific-san-francisco,Mason Pacific,$$$,4.0,302
"[{u'alias': u'french', u'title': u'French'}, {u'alias': u'basque', u'title': u'Basque'}]",San Francisco,fringale-san-francisco,Fringale,$$$,4.0,994
"[{u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'comfortfood', u'title': u'Comfort Food'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",San Francisco,starbelly-san-francisco,Starbelly,$$,3.5,1435
"[{u'alias': u'italian', u'title': u'Italian'}]",San Francisco,delfina-san-francisco,Delfina,$$$,4.0,1832
"[{u'alias': u'chinese', u'title': u'Chinese'}]",San Francisco,z-and-y-restaurant-san-francisco-3,Z & Y Restaurant,$$,3.5,1013
"[{u'alias': u'newamerican', u'title': u'American (New)'}]",San Francisco,trestle-san-francisco,Trestle,$$$,4.5,378
"[{u'alias': u'thai', u'title': u'Thai'}, {u'alias': u'comfortfood', u'title': u'Comfort Food'}]",San Francisco,farmhouse-kitchen-thai-cuisine-san-francisco,Farmhouse Kitchen Thai Cuisine,$$,4.0,395
"[{u'alias': u'italian', u'title': u'Italian'}]",San Francisco,cotogna-san-francisco,Cotogna,$$$,4.0,1032
"[{u'alias': u'seafood', u'title': u'Seafood'}]",San Francisco,anchor-oyster-bar-san-francisco,Anchor Oyster Bar,$$$,4.5,1166
"[{u'alias': u'greek', u'title': u'Greek'}, {u'alias': u'mediterranean', u'title': u'Mediterranean'}]",San Francisco,kokkari-estiatorio-san-francisco,Kokkari Estiatorio,$$$,4.5,3705
"[{u'alias': u'french', u'title': u'French'}]",San Francisco,bistro-aix-san-francisco,Bistro Aix,$$,4.0,557
"[{u'alias': u'filipino', u'title': u'Filipino'}]",Washington,bad-saint-washington,Bad Saint,$$,4.5,195
"[{u'alias': u'bars', u'title': u'Bars'}, {u'alias': u'newamerican', u'title': u'American (New)'}, {u'alias': u'breakfast_brunch', u'title': u'Breakfast & Brunch'}]",Washington,bidwell-washington,Bidwell,$$,3.5,164
